"Region Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"2/27/2019 6 p.m. EST",471660,29485,9461,38211,7462,3926,164466,120704,96830
US48,"2/27/2019 7 p.m. EST",481194,27845,7650,41247,7471,4187,170712,124075,96840
US48,"2/27/2019 8 p.m. EST",488662,26799,2588,44098,7598,4515,177998,126989,96881
US48,"2/27/2019 9 p.m. EST",488326,26698,1402,44862,7661,4589,178981,127494,96881
US48,"2/27/2019 10 p.m. EST",477577,25081,165,43416,7545,4287,173335,125747,96841
US48,"2/27/2019 11 p.m. EST",460220,23683,162,40277,7159,4139,164174,122499,96886
US48,"2/28/2019 12 a.m. EST",442068,23438,149,36101,7941,2782,154550,118595,97242
US48,"2/28/2019 1 a.m. EST",422466,22749,149,32677,7852,2654,142402,115714,97174
US48,"2/28/2019 2 a.m. EST",409280,18586,165,27625,7796,2665,128420,96145,95150
US48,"2/28/2019 3 a.m. EST",399009,17729,106,24989,7757,2748,125562,94823,95298
US48,"2/28/2019 4 a.m. EST",398163,16345,72,24559,7568,2811,125727,96071,95420
US48,"2/28/2019 5 a.m. EST",401224,14381,59,24054,7502,2921,129291,97080,95557
US48,"2/28/2019 6 a.m. EST",419555,12421,39,28435,8201,3060,139611,100781,95880
US48,"2/28/2019 7 a.m. EST",445610,11013,101,35942,7557,4669,151691,106041,95917
US48,"2/28/2019 8 a.m. EST",467392,10906,851,41482,7857,5213,160880,109762,95970
US48,"2/28/2019 9 a.m. EST",476442,10785,2119,41665,7880,5134,166989,110489,95905
US48,"2/28/2019 10 a.m. EST",479114,9913,5481,42759,8720,4215,165666,110635,95851
US48,"2/28/2019 11 a.m. EST",477911,8969,11963,40727,7387,5009,163609,108616,95911
US48,"2/28/2019 12 p.m. EST",474809,8483,15814,37937,8328,4169,159982,108486,95867
US48,"2/28/2019 1 p.m. EST",471521,8535,18186,35830,8260,3955,157921,107533,95962
US48,"2/28/2019 2 p.m. EST",466011,8891,17072,33245,8615,3624,156697,107217,95967
US48,"2/28/2019 3 p.m. EST",463218,9622,16788,32201,9091,3471,155906,105918,95968
US48,"2/28/2019 4 p.m. EST",460890,10356,14877,31692,8970,3597,155007,106335,95989
US48,"2/28/2019 5 p.m. EST",464927,11559,13305,32524,8998,3835,158423,106459,95971
US48,"2/28/2019 6 p.m. EST",473567,11879,11315,37502,9241,3998,162025,107190,96010
US48,"2/28/2019 7 p.m. EST",483508,12708,8924,40313,9565,4074,167586,109419,95981
US48,"2/28/2019 8 p.m. EST",491808,13091,2768,43057,9704,4500,175349,111081,95953
US48,"2/28/2019 9 p.m. EST",492921,14077,1343,42733,9141,4629,177666,112114,95930
US48,"2/28/2019 10 p.m. EST",481815,15340,191,40706,8957,4386,170115,109901,95933
US48,"2/28/2019 11 p.m. EST",465184,16328,197,37152,8585,3729,159749,107677,96060
US48,"3/1/2019 12 a.m. EST",442443,16943,193,34324,8054,3331,145730,103976,95931
