"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"3/22/2019 4 p.m. EDT",38636,21930,32105,6679,3007,122484,96625,92603,414106
US48,"3/22/2019 5 p.m. EDT",39372,19824,32995,6687,2953,122851,94976,92590,412604
US48,"3/22/2019 6 p.m. EDT",40359,18009,33410,6634,2890,123292,94619,92688,412333
US48,"3/22/2019 7 p.m. EDT",42597,13992,35405,6390,2995,123911,94473,92716,413123
US48,"3/22/2019 8 p.m. EDT",43641,9721,39453,6392,2846,126068,94890,92563,416767
US48,"3/22/2019 9 p.m. EDT",43085,4166,42515,6562,3131,130592,98224,92248,422651
US48,"3/22/2019 10 p.m. EDT",45207,827,41604,6573,3079,129423,98684,91842,419529
US48,"3/22/2019 11 p.m. EDT",47108,564,40205,6508,2865,125402,94459,91537,411109
US48,"3/23/2019 12 a.m. EDT",48168,550,38235,6224,2713,116522,87370,91790,394004
US48,"3/23/2019 1 a.m. EDT",46964,533,36171,6071,2707,114083,85217,91159,384643
US48,"3/23/2019 2 a.m. EDT",45621,507,32657,5899,2607,110824,79150,90711,369643
US48,"3/23/2019 3 a.m. EDT",44200,350,30428,5895,2522,109524,77691,90704,362728
US48,"3/23/2019 4 a.m. EDT",43651,162,29211,5983,2525,108941,77699,90568,360225
